index,type,from,to,dataset,year,change,reversions,reversion_count,reverts_a_previous_change,reverts_a_later_change,complete_reversions,complete_reversions_summary,complete_reversion_count,completely_reverts_a_previous_change,completely_reverts_a_later_change
11,split,Ammodramus caudacutus,"Ammodramus caudacutus, Ammodramus nelsoni",aou_2_09 (1899),1899,"Ammodramus caudacutus -> Ammodramus caudacutus + Ammodramus nelsoni [split, aou_2_09 (1899)]","Passerherbulus nelsoni + Passerherbulus caudacutus -> Passerherbulus caudacutus [lump, aou_4 (1931)]",1,no,yes,,,0,no,no
12,split,Fulmarus glacialis,"Fulmarus glacialis, Fulmarus rodgersi",aou_2_10 (1901),1901,"Fulmarus glacialis -> Fulmarus glacialis + Fulmarus rodgersi [split, aou_2_10 (1901)]","Fulmarus glacialis + Fulmarus rodgersi -> Fulmarus glacialis [lump, aou_4 (1931)]",1,no,yes,"Fulmarus glacialis + Fulmarus rodgersi -> Fulmarus glacialis [lump, aou_4 (1931)]","split (1901) -> lump (1931) [starting with change Fulmarus glacialis -> Fulmarus glacialis + Fulmarus rodgersi [split, aou_2_10 (1901)]]",1,no,yes
13,lump,"Myiozetetes similis, Myiozetetes texensis",Myiozetetes similis,aou_2_11 (1902),1902,"Myiozetetes similis + Myiozetetes texensis -> Myiozetetes similis [lump, aou_2_11 (1902)]",,0,no,no,,,0,no,no
14,split,Vireo bellii,"Vireo bellii, Vireo pusillus",aou_2_11 (1902),1902,"Vireo bellii -> Vireo bellii + Vireo pusillus [split, aou_2_11 (1902)]",,0,no,no,,,0,no,no
15,lump,"Ammodramus sanctorum, Ammodramus rostratus",Ammodramus rostratus,aou_2_11 (1902),1902,"Ammodramus sanctorum + Ammodramus rostratus -> Ammodramus rostratus [lump, aou_2_11 (1902)]",,0,no,no,,,0,no,no
16,lump,"Quiscalus major, Quiscalus macrourus",Quiscalus major,aou_2_11 (1902),1902,"Quiscalus major + Quiscalus macrourus -> Quiscalus major [lump, aou_2_11 (1902)]",,0,no,no,,,0,no,no
17,lump,"Rallus scottii, Rallus crepitans",Rallus crepitans,aou_2_11 (1902),1902,"Rallus scottii + Rallus crepitans -> Rallus crepitans [lump, aou_2_11 (1902)]","Rallus longirostris -> Rallus longirostris + Rallus scottii + Rallus crepitans [split, aou_1_02 (1890)]",1,yes,no,,,0,no,no
18,lump,"Peucaea mexicana, Peucaea arizonae, Peucaea botterii",Peucaea botterii,aou_2_11 (1902),1902,"Peucaea mexicana + Peucaea arizonae + Peucaea botterii -> Peucaea botterii [lump, aou_2_11 (1902)]",,0,no,no,,,0,no,no
19,lump,"Ardea herodias, Ardea wardi",Ardea herodias,aou_2_12 (1903),1903,"Ardea herodias + Ardea wardi -> Ardea herodias [lump, aou_2_12 (1903)]",,0,no,no,,,0,no,no
20,lump,"Melospiza cinerea, Melospiza melodia, Melospiza insignis",Melospiza cinerea,aou_2_12 (1903),1903,"Melospiza cinerea + Melospiza melodia + Melospiza insignis -> Melospiza cinerea [lump, aou_2_12 (1903)]",,0,no,no,,,0,no,no
21,lump,"Compsothlypis nigrilora, Compsothlypis pitiayumi",Compsothlypis pitiayumi,aou_2_13 (1904),1904,"Compsothlypis nigrilora + Compsothlypis pitiayumi -> Compsothlypis pitiayumi [lump, aou_2_13 (1904)]",,0,no,no,,,0,no,no
22,lump,"Phalacrocorax mexicanus, Phalacrocorax vigua",Phalacrocorax vigua,aou_2_14 (1908),1908,"Phalacrocorax mexicanus + Phalacrocorax vigua -> Phalacrocorax vigua [lump, aou_2_14 (1908)]",,0,no,no,,,0,no,no
23,lump,"Falco columbarius, Falco richardsonii",Falco columbarius,aou_2_14 (1908),1908,"Falco columbarius + Falco richardsonii -> Falco columbarius [lump, aou_2_14 (1908)]",,0,no,no,,,0,no,no
24,lump,"Arenaria interpres, Arenaria morinella",Arenaria interpres,aou_2_14 (1908),1908,"Arenaria interpres + Arenaria morinella -> Arenaria interpres [lump, aou_2_14 (1908)]",,0,no,no,,,0,no,no
25,lump,"Arquatella ptilocnemis, Arquatella maritima, Arquatella couesi",Arquatella maritima,aou_2_14 (1908),1908,"Arquatella ptilocnemis + Arquatella maritima + Arquatella couesi -> Arquatella maritima [lump, aou_2_14 (1908)]","Arquatella maritima -> Arquatella ptilocnemis + Arquatella maritima [split, aou_4 (1931)]",1,no,yes,,,0,no,no
26,lump,"Empidonax insulicola, Empidonax difficilis, Empidonax cineritius",Empidonax difficilis,aou_2_14 (1908),1908,"Empidonax insulicola + Empidonax difficilis + Empidonax cineritius -> Empidonax difficilis [lump, aou_2_14 (1908)]",,0,no,no,,,0,no,no
27,lump,"Pitangus derbianus, Pitangus sulphuratus",Pitangus sulphuratus,aou_2_14 (1908),1908,"Pitangus derbianus + Pitangus sulphuratus -> Pitangus sulphuratus [lump, aou_2_14 (1908)]",,0,no,no,,,0,no,no
28,lump,"Junco annectens, Junco mearnsi, Junco hyemalis",Junco hyemalis,aou_2_14 (1908),1908,"Junco annectens + Junco mearnsi + Junco hyemalis -> Junco hyemalis [lump, aou_2_14 (1908)]","Junco hyemalis -> Junco mearnsi + Junco hyemalis [split, aou_4 (1931)]",1,no,yes,,,0,no,no
29,split,Pipilo fuscus,"Pipilo crissalis, Pipilo fuscus",aou_2_14 (1908),1908,"Pipilo fuscus -> Pipilo crissalis + Pipilo fuscus [split, aou_2_14 (1908)]","Pipilo crissalis + Pipilo fuscus -> Pipilo fuscus [lump, aou_4 (1931)]",1,no,yes,"Pipilo crissalis + Pipilo fuscus -> Pipilo fuscus [lump, aou_4 (1931)]","split (1908) -> lump (1931) [starting with change Pipilo fuscus -> Pipilo crissalis + Pipilo fuscus [split, aou_2_14 (1908)]]",1,no,yes
30,split,Sturnella magna,"Sturnella magna, Sturnella neglecta",aou_2_14 (1908),1908,"Sturnella magna -> Sturnella magna + Sturnella neglecta [split, aou_2_14 (1908)]",,0,no,no,,,0,no,no
31,lump,"Myiarchus magister, Myiarchus mexicanus",Myiarchus magister,aou_2_14 (1908),1908,"Myiarchus magister + Myiarchus mexicanus -> Myiarchus magister [lump, aou_2_14 (1908)]",,0,no,no,,,0,no,no
32,split,Sula sula,"Sula leucogastra, Sula sula",aou_2_14 (1908),1908,"Sula sula -> Sula leucogastra + Sula sula [split, aou_2_14 (1908)]",,0,no,no,,,0,no,no
33,lump,"Macrorhamphus griseus, Macrorhamphus scolopaceus",Macrorhamphus griseus,aou_3 (1910),1910,"Macrorhamphus griseus + Macrorhamphus scolopaceus -> Macrorhamphus griseus [lump, aou_3 (1910)]",,0,no,no,,,0,no,no
34,lump,"Oceanodroma kaedingi, Oceanodroma leucorhoa",Oceanodroma leucorhoa,aou_3_18 (1923),1923,"Oceanodroma kaedingi + Oceanodroma leucorhoa -> Oceanodroma leucorhoa [lump, aou_3_18 (1923)]",,0,no,no,,,0,no,no
35,lump,"Ixobrychus neoxenus, Ixobrychus exilis",Ixobrychus exilis,aou_3_18 (1923),1923,"Ixobrychus neoxenus + Ixobrychus exilis -> Ixobrychus exilis [lump, aou_3_18 (1923)]",,0,no,no,,,0,no,no
36,lump,"Tyto alba, Tyto pratincola",Tyto alba,aou_3_18 (1923),1923,"Tyto alba + Tyto pratincola -> Tyto alba [lump, aou_3_18 (1923)]",,0,no,no,,,0,no,no
37,lump,"Atthis heloisa, Atthis morcomi",Atthis heloisa,aou_3_18 (1923),1923,"Atthis heloisa + Atthis morcomi -> Atthis heloisa [lump, aou_3_18 (1923)]",,0,no,no,,,0,no,no
38,lump,"Corvus brachyrhynchos, Corvus caurinus",Corvus brachyrhynchos,aou_3_18 (1923),1923,"Corvus brachyrhynchos + Corvus caurinus -> Corvus brachyrhynchos [lump, aou_3_18 (1923)]","Corvus brachyrhynchos -> Corvus brachyrhynchos + Corvus caurinus [split, aou_4_20 (1945)]",1,no,yes,"Corvus brachyrhynchos -> Corvus brachyrhynchos + Corvus caurinus [split, aou_4_20 (1945)]","lump (1923) -> split (1945) [starting with change Corvus brachyrhynchos + Corvus caurinus -> Corvus brachyrhynchos [lump, aou_3_18 (1923)]]",1,no,yes
39,lump,"Gallinula chloropus, Gallinula galeata",Gallinula chloropus,aou_3_18 (1923),1923,"Gallinula chloropus + Gallinula galeata -> Gallinula chloropus [lump, aou_3_18 (1923)]","Gallinula chloropus -> Gallinula chloropus + Gallinula galeata [split, aou_7_52 (2011)]",1,no,yes,"Gallinula chloropus -> Gallinula chloropus + Gallinula galeata [split, aou_7_52 (2011)]","lump (1923) -> split (2011) [starting with change Gallinula chloropus + Gallinula galeata -> Gallinula chloropus [lump, aou_3_18 (1923)]]",1,no,yes
40,lump,"Lagopus welchi, Lagopus evermanni, Lagopus rupestris",Lagopus rupestris,aou_4 (1931),1931,"Lagopus welchi + Lagopus evermanni + Lagopus rupestris -> Lagopus rupestris [lump, aou_4 (1931)]",,0,no,no,,,0,no,no
41,lump,"Rallus longirostris, Rallus crepitans",Rallus longirostris,aou_4 (1931),1931,"Rallus longirostris + Rallus crepitans -> Rallus longirostris [lump, aou_4 (1931)]","Rallus longirostris -> Rallus longirostris + Rallus scottii + Rallus crepitans [split, aou_1_02 (1890)]; Rallus longirostris -> Rallus obsoletus + Rallus longirostris + Rallus crepitans [split, aou_7_55 (2014)]",2,yes,yes,,,0,no,no
42,lump,"Rallus obsoletus, Rallus beldingi, Rallus levipes",Rallus obsoletus,aou_4 (1931),1931,"Rallus obsoletus + Rallus beldingi + Rallus levipes -> Rallus obsoletus [lump, aou_4 (1931)]",,0,no,no,,,0,no,no
43,lump,"Larus thayeri, Larus argentatus",Larus argentatus,aou_4 (1931),1931,"Larus thayeri + Larus argentatus -> Larus argentatus [lump, aou_4 (1931)]",,0,no,no,,,0,no,no
44,lump,"Cepphus mandtii, Cepphus grylle",Cepphus grylle,aou_4 (1931),1931,"Cepphus mandtii + Cepphus grylle -> Cepphus grylle [lump, aou_4 (1931)]",,0,no,no,,,0,no,no
45,lump,"Glaucidium gnoma, Glaucidium hoskinsi",Glaucidium gnoma,aou_4 (1931),1931,"Glaucidium gnoma + Glaucidium hoskinsi -> Glaucidium gnoma [lump, aou_4 (1931)]",,0,no,no,,,0,no,no
46,lump,"Colaptes rufipileus, Colaptes cafer",Colaptes cafer,aou_4 (1931),1931,"Colaptes rufipileus + Colaptes cafer -> Colaptes cafer [lump, aou_4 (1931)]",,0,no,no,,,0,no,no
47,lump,"Salpinctes obsoletus, Salpinctes guadeloupensis",Salpinctes obsoletus,aou_4 (1931),1931,"Salpinctes obsoletus + Salpinctes guadeloupensis -> Salpinctes obsoletus [lump, aou_4 (1931)]",,0,no,no,,,0,no,no
48,lump,"Thryomanes leucophrys, Thryomanes bewicki",Thryomanes bewicki,aou_4 (1931),1931,"Thryomanes leucophrys + Thryomanes bewicki -> Thryomanes bewicki [lump, aou_4 (1931)]",,0,no,no,,,0,no,no
49,lump,"Nannus meliger, Nannus hiemalis",Nannus hiemalis,aou_4 (1931),1931,"Nannus meliger + Nannus hiemalis -> Nannus hiemalis [lump, aou_4 (1931)]",,0,no,no,,,0,no,no
50,lump,"Tympanuchus americanus, Tympanuchus cupido",Tympanuchus cupido,aou_4 (1931),1931,"Tympanuchus americanus + Tympanuchus cupido -> Tympanuchus cupido [lump, aou_4 (1931)]",,0,no,no,,,0,no,no
51,lump,"Gavia pacifica, Gavia arctica",Gavia arctica,aou_4 (1931),1931,"Gavia pacifica + Gavia arctica -> Gavia arctica [lump, aou_4 (1931)]","Gavia arctica -> Gavia pacifica + Gavia arctica [split, aou_6_35 (1985)]",1,no,yes,"Gavia arctica -> Gavia pacifica + Gavia arctica [split, aou_6_35 (1985)]","lump (1931) -> split (1985) [starting with change Gavia pacifica + Gavia arctica -> Gavia arctica [lump, aou_4 (1931)]]",1,no,yes
52,lump,"Fulmarus glacialis, Fulmarus rodgersi",Fulmarus glacialis,aou_4 (1931),1931,"Fulmarus glacialis + Fulmarus rodgersi -> Fulmarus glacialis [lump, aou_4 (1931)]","Fulmarus glacialis -> Fulmarus glacialis + Fulmarus rodgersi [split, aou_2_10 (1901)]",1,yes,no,"Fulmarus glacialis -> Fulmarus glacialis + Fulmarus rodgersi [split, aou_2_10 (1901)]","split (1901) -> lump (1931) [starting with change Fulmarus glacialis -> Fulmarus glacialis + Fulmarus rodgersi [split, aou_2_10 (1901)]]",1,yes,no
53,lump,"Pterodroma scalaris, Pterodroma inexpectata, Pterodroma fisheri",Pterodroma inexpectata,aou_4 (1931),1931,"Pterodroma scalaris + Pterodroma inexpectata + Pterodroma fisheri -> Pterodroma inexpectata [lump, aou_4 (1931)]",,0,no,no,,,0,no,no
54,lump,"Pelecanus occidentalis, Pelecanus californicus",Pelecanus occidentalis,aou_4 (1931),1931,"Pelecanus occidentalis + Pelecanus californicus -> Pelecanus occidentalis [lump, aou_4 (1931)]",,0,no,no,,,0,no,no
55,lump,"Creciscus coturniculus, Creciscus jamaicensis",Creciscus jamaicensis,aou_4 (1931),1931,"Creciscus coturniculus + Creciscus jamaicensis -> Creciscus jamaicensis [lump, aou_4 (1931)]","Porzana jamaicensis -> Porzana jamaicensis + Porzana coturniculus [split, aou_1_05 (1893)]",1,yes,no,,,0,no,no
56,lump,"Larus canus, Larus brachyrhynchus",Larus canus,aou_4 (1931),1931,"Larus canus + Larus brachyrhynchus -> Larus canus [lump, aou_4 (1931)]",,0,no,no,,,0,no,no
57,lump,"Larus argentatus, Larus vegae",Larus argentatus,aou_4 (1931),1931,"Larus argentatus + Larus vegae -> Larus argentatus [lump, aou_4 (1931)]",,0,no,no,,,0,no,no
58,lump,"Aphelocoma woodhousei, Aphelocoma texana, Aphelocoma cyanotis, Aphelocoma californica",Aphelocoma californica,aou_4 (1931),1931,"Aphelocoma woodhousei + Aphelocoma texana + Aphelocoma cyanotis + Aphelocoma californica -> Aphelocoma californica [lump, aou_4 (1931)]","Aphelocoma californica -> Aphelocoma californica + Aphelocoma woodhouseii [split, aou_7_57 (2016)]",1,no,yes,,,0,no,no
59,lump,"Psaltriparus plumbeus, Psaltriparus minimus",Psaltriparus minimus,aou_4 (1931),1931,"Psaltriparus plumbeus + Psaltriparus minimus -> Psaltriparus minimus [lump, aou_4 (1931)]",,0,no,no,,,0,no,no
60,lump,"Motacilla alba, Motacilla ocularis",Motacilla alba,aou_4 (1931),1931,"Motacilla alba + Motacilla ocularis -> Motacilla alba [lump, aou_4 (1931)]",,0,no,no,,,0,no,no
61,lump,"Passerherbulus nelsoni, Passerherbulus caudacutus",Passerherbulus caudacutus,aou_4 (1931),1931,"Passerherbulus nelsoni + Passerherbulus caudacutus -> Passerherbulus caudacutus [lump, aou_4 (1931)]","Ammodramus caudacutus -> Ammodramus caudacutus + Ammodramus nelsoni [split, aou_2_09 (1899)]; Ammodramus caudacutus -> Ammodramus caudacutus + Ammodramus nelsoni [split, aou_6_40 (1995)]",2,yes,yes,,,0,no,no
62,lump,"Agelaius gubernator, Agelaius phoeniceus",Agelaius phoeniceus,aou_4 (1931),1931,"Agelaius gubernator + Agelaius phoeniceus -> Agelaius phoeniceus [lump, aou_4 (1931)]",,0,no,no,,,0,no,no
63,split,Dendragapus obscurus,"Dendragapus fuliginosus, Dendragapus obscurus",aou_4 (1931),1931,"Dendragapus obscurus -> Dendragapus fuliginosus + Dendragapus obscurus [split, aou_4 (1931)]","Dendragapus fuliginosus + Dendragapus obscurus -> Dendragapus obscurus [lump, aou_4_19 (1944)]",1,no,yes,"Dendragapus fuliginosus + Dendragapus obscurus -> Dendragapus obscurus [lump, aou_4_19 (1944)]","split (1931) -> lump (1944) [starting with change Dendragapus obscurus -> Dendragapus fuliginosus + Dendragapus obscurus [split, aou_4 (1931)]]",1,no,yes
64,split,Arquatella maritima,"Arquatella ptilocnemis, Arquatella maritima",aou_4 (1931),1931,"Arquatella maritima -> Arquatella ptilocnemis + Arquatella maritima [split, aou_4 (1931)]","Arquatella ptilocnemis + Arquatella maritima + Arquatella couesi -> Arquatella maritima [lump, aou_2_14 (1908)]",1,yes,no,,,0,no,no
65,lump,"Haematopus palliatus, Haematopus frazari",Haematopus palliatus,aou_4 (1931),1931,"Haematopus palliatus + Haematopus frazari -> Haematopus palliatus [lump, aou_4 (1931)]",,0,no,no,,,0,no,no
66,lump,"Sphyrapicus ruber, Sphyrapicus varius",Sphyrapicus varius,aou_4 (1931),1931,"Sphyrapicus ruber + Sphyrapicus varius -> Sphyrapicus varius [lump, aou_4 (1931)]",,0,no,no,,,0,no,no
67,split,Junco hyemalis,"Junco mearnsi, Junco hyemalis",aou_4 (1931),1931,"Junco hyemalis -> Junco mearnsi + Junco hyemalis [split, aou_4 (1931)]","Junco annectens + Junco mearnsi + Junco hyemalis -> Junco hyemalis [lump, aou_2_14 (1908)]",1,yes,no,,,0,no,no
68,lump,"Pipilo crissalis, Pipilo fuscus",Pipilo fuscus,aou_4 (1931),1931,"Pipilo crissalis + Pipilo fuscus -> Pipilo fuscus [lump, aou_4 (1931)]","Pipilo fuscus -> Pipilo crissalis + Pipilo fuscus [split, aou_2_14 (1908)]; Pipilo fuscus -> Pipilo crissalis + Pipilo fuscus [split, aou_6_37 (1989)]",2,yes,yes,"Pipilo fuscus -> Pipilo crissalis + Pipilo fuscus [split, aou_2_14 (1908)]; Pipilo fuscus -> Pipilo crissalis + Pipilo fuscus [split, aou_6_37 (1989)]","split (1908) -> lump (1931) -> split (1989) [starting with change Pipilo fuscus -> Pipilo crissalis + Pipilo fuscus [split, aou_2_14 (1908)]]",2,yes,yes
69,lump,"Colymbus grisegena, Colymbus holboellii",Colymbus grisegena,aou_4 (1931),1931,"Colymbus grisegena + Colymbus holboellii -> Colymbus grisegena [lump, aou_4 (1931)]",,0,no,no,,,0,no,no
70,lump,"Puffinus diomedea, Puffinus borealis",Puffinus diomedea,aou_4 (1931),1931,"Puffinus diomedea + Puffinus borealis -> Puffinus diomedea [lump, aou_4 (1931)]",,0,no,no,,,0,no,no
71,split,Fregata aquila,"Fregata aquila, Fregata magnificens",aou_4 (1931),1931,"Fregata aquila -> Fregata aquila + Fregata magnificens [split, aou_4 (1931)]",,0,no,no,,,0,no,no
72,lump,"Phaethon lepturus, Phaethon americanus",Phaethon lepturus,aou_4 (1931),1931,"Phaethon lepturus + Phaethon americanus -> Phaethon lepturus [lump, aou_4 (1931)]",,0,no,no,,,0,no,no
73,lump,"Casmerodius egretta, Casmerodius alba",Casmerodius alba,aou_4 (1931),1931,"Casmerodius egretta + Casmerodius alba -> Casmerodius alba [lump, aou_4 (1931)]",,0,no,no,,,0,no,no
74,lump,"Mergus merganser, Mergus americanus",Mergus merganser,aou_4 (1931),1931,"Mergus merganser + Mergus americanus -> Mergus merganser [lump, aou_4 (1931)]",,0,no,no,,,0,no,no
75,lump,"Glaucidium brasilianum, Glaucidium phaloenoides",Glaucidium brasilianum,aou_4 (1931),1931,"Glaucidium brasilianum + Glaucidium phaloenoides -> Glaucidium brasilianum [lump, aou_4 (1931)]",,0,no,no,,,0,no,no
76,lump,"Myiarchus lawrencei, Myiarchus tuberculifer",Myiarchus tuberculifer,aou_4 (1931),1931,"Myiarchus lawrencei + Myiarchus tuberculifer -> Myiarchus tuberculifer [lump, aou_4 (1931)]",,0,no,no,,,0,no,no
77,lump,"Myiarchus tyrannulus, Myiarchus magister",Myiarchus tyrannulus,aou_4 (1931),1931,"Myiarchus tyrannulus + Myiarchus magister -> Myiarchus tyrannulus [lump, aou_4 (1931)]",,0,no,no,,,0,no,no
78,lump,"Polioptila californica, Polioptila melanura",Polioptila melanura,aou_4 (1931),1931,"Polioptila californica + Polioptila melanura -> Polioptila melanura [lump, aou_4 (1931)]","Polioptila melanura -> Polioptila californica + Polioptila melanura [split, aou_6_37 (1989)]",1,no,yes,"Polioptila melanura -> Polioptila californica + Polioptila melanura [split, aou_6_37 (1989)]","lump (1931) -> split (1989) [starting with change Polioptila californica + Polioptila melanura -> Polioptila melanura [lump, aou_4 (1931)]]",1,no,yes
79,lump,"Stelgidopteryx serripennis, Stelgidopteryx ruficollis",Stelgidopteryx ruficollis,aou_4 (1931),1931,"Stelgidopteryx serripennis + Stelgidopteryx ruficollis -> Stelgidopteryx ruficollis [lump, aou_4 (1931)]",,0,no,no,,,0,no,no
80,lump,"Anthus spinoletta, Anthus rubescens",Anthus spinoletta,aou_4 (1931),1931,"Anthus spinoletta + Anthus rubescens -> Anthus spinoletta [lump, aou_4 (1931)]","Anthus spinoletta -> Anthus spinoletta + Anthus rubescens [split, aou_6_37 (1989)]",1,no,yes,"Anthus spinoletta -> Anthus spinoletta + Anthus rubescens [split, aou_6_37 (1989)]","lump (1931) -> split (1989) [starting with change Anthus spinoletta + Anthus rubescens -> Anthus spinoletta [lump, aou_4 (1931)]]",1,no,yes
81,lump,"Pyrrhula cassini, Pyrrhula pyrrhula",Pyrrhula pyrrhula,aou_4 (1931),1931,"Pyrrhula cassini + Pyrrhula pyrrhula -> Pyrrhula pyrrhula [lump, aou_4 (1931)]",,0,no,no,,,0,no,no
82,split,Passerherbulus lecontei,"Passerherbulus lecontei, Passerherbulus caudacutus",aou_4 (1931),1931,"Passerherbulus lecontei -> Passerherbulus lecontei + Passerherbulus caudacutus [split, aou_4 (1931)]","Ammospiza leconteii + Passerherbulus caudacutus -> Ammospiza leconteii [lump, aou_5_32 (1973)]",1,no,yes,"Ammospiza leconteii + Passerherbulus caudacutus -> Ammospiza leconteii [lump, aou_5_32 (1973)]","split (1931) -> lump (1973) [starting with change Passerherbulus lecontei -> Passerherbulus lecontei + Passerherbulus caudacutus [split, aou_4 (1931)]]",1,no,yes
83,lump,"Piranga hepatica, Piranga flava",Piranga flava,aou_4 (1931),1931,"Piranga hepatica + Piranga flava -> Piranga flava [lump, aou_4 (1931)]",,0,no,no,,,0,no,no
84,lump,"Megaquiscalus major, Cassidix mexicanus",Cassidix mexicanus,aou_4 (1931),1931,"Megaquiscalus major + Cassidix mexicanus -> Cassidix mexicanus [lump, aou_4 (1931)]","Cassidix mexicanus -> Cassidix major + Cassidix mexicanus [split, aou_5_32 (1973)]",1,no,yes,"Cassidix mexicanus -> Cassidix major + Cassidix mexicanus [split, aou_5_32 (1973)]","lump (1931) -> split (1973) [starting with change Megaquiscalus major + Cassidix mexicanus -> Cassidix mexicanus [lump, aou_4 (1931)]]",1,no,yes
85,lump,"Lanius excubitor, Lanius borealis",Lanius excubitor,aou_4_19 (1944),1944,"Lanius excubitor + Lanius borealis -> Lanius excubitor [lump, aou_4_19 (1944)]",,0,no,no,,,0,no,no
86,lump,"Aphelocoma californica, Aphelocoma coerulescens",Aphelocoma coerulescens,aou_4_19 (1944),1944,"Aphelocoma californica + Aphelocoma coerulescens -> Aphelocoma coerulescens [lump, aou_4_19 (1944)]","Aphelocoma coerulescens -> Aphelocoma californica + Aphelocoma insularis + Aphelocoma coerulescens [split, aou_6_40 (1995)]",1,no,yes,,,0,no,no
87,lump,"Perisoreus canadensis, Perisoreus obscurus",Perisoreus canadensis,aou_4_19 (1944),1944,"Perisoreus canadensis + Perisoreus obscurus -> Perisoreus canadensis [lump, aou_4_19 (1944)]",,0,no,no,,,0,no,no
88,lump,"Troglodytes troglodytes, Nannus hiemalis",Troglodytes troglodytes,aou_4_19 (1944),1944,"Troglodytes troglodytes + Nannus hiemalis -> Troglodytes troglodytes [lump, aou_4_19 (1944)]","Troglodytes troglodytes -> Troglodytes hiemalis + Troglodytes troglodytes + Troglodytes pacificus [split, aou_7_51 (2010)]",1,no,yes,,,0,no,no
89,lump,"Sterna albifrons, Sterna antillarum",Sterna albifrons,aou_4_19 (1944),1944,"Sterna albifrons + Sterna antillarum -> Sterna albifrons [lump, aou_4_19 (1944)]","Sterna albifrons -> Sterna albifrons + Sterna antillarum [split, aou_5_34 (January 1982)]",1,no,yes,"Sterna albifrons -> Sterna albifrons + Sterna antillarum [split, aou_5_34 (January 1982)]","lump (1944) -> split (1982) [starting with change Sterna albifrons + Sterna antillarum -> Sterna albifrons [lump, aou_4_19 (1944)]]",1,no,yes
90,lump,"Asio otus, Asio wilsonianus",Asio otus,aou_4_19 (1944),1944,"Asio otus + Asio wilsonianus -> Asio otus [lump, aou_4_19 (1944)]",,0,no,no,,,0,no,no
91,lump,"Progne cryptoleuca, Progne subis",Progne subis,aou_4_19 (1944),1944,"Progne cryptoleuca + Progne subis -> Progne subis [lump, aou_4_19 (1944)]","Progne subis -> Progne cryptoleuca + Progne subis [split, aou_4_31 (1956)]",1,no,yes,"Progne subis -> Progne cryptoleuca + Progne subis [split, aou_4_31 (1956)]","lump (1944) -> split (1956) [starting with change Progne cryptoleuca + Progne subis -> Progne subis [lump, aou_4_19 (1944)]]",1,no,yes
92,lump,"Hirundo rustica, Hirundo erythrogaster",Hirundo rustica,aou_4_19 (1944),1944,"Hirundo rustica + Hirundo erythrogaster -> Hirundo rustica [lump, aou_4_19 (1944)]",,0,no,no,,,0,no,no
93,lump,"Passerculus beldingi, Passerculus rostratus, Passerculus sandwichensis",Passerculus sandwichensis,aou_4_19 (1944),1944,"Passerculus beldingi + Passerculus rostratus + Passerculus sandwichensis -> Passerculus sandwichensis [lump, aou_4_19 (1944)]",,0,no,no,,,0,no,no
94,lump,"Amphispiza nevadensis, Amphispiza belli",Amphispiza belli,aou_4_19 (1944),1944,"Amphispiza nevadensis + Amphispiza belli -> Amphispiza belli [lump, aou_4_19 (1944)]",,0,no,no,,,0,no,no
95,split,Quiscalus quiscula,"Quiscalus versicolor, Quiscalus quiscula",aou_4_19 (1944),1944,"Quiscalus quiscula -> Quiscalus versicolor + Quiscalus quiscula [split, aou_4_19 (1944)]","Quiscalus versicolor + Quiscalus quiscula -> Quiscalus quiscula [lump, aou_4_23 (1948)]",1,no,yes,"Quiscalus versicolor + Quiscalus quiscula -> Quiscalus quiscula [lump, aou_4_23 (1948)]","split (1944) -> lump (1948) [starting with change Quiscalus quiscula -> Quiscalus versicolor + Quiscalus quiscula [split, aou_4_19 (1944)]]",1,no,yes
96,lump,"Sula piscator, Sula sula",Sula sula,aou_4_19 (1944),1944,"Sula piscator + Sula sula -> Sula sula [lump, aou_4_19 (1944)]",,0,no,no,,,0,no,no
97,lump,"Sula brewsteri, Sula leucogaster",Sula leucogaster,aou_4_19 (1944),1944,"Sula brewsteri + Sula leucogaster -> Sula leucogaster [lump, aou_4_19 (1944)]",,0,no,no,,,0,no,no
98,lump,"Branta nigricans, Branta bernicla",Branta bernicla,aou_4_19 (1944),1944,"Branta nigricans + Branta bernicla -> Branta bernicla [lump, aou_4_19 (1944)]","Branta bernicla -> Branta nigricans + Branta bernicla [split, aou_4_26 (1951)]",1,no,yes,"Branta bernicla -> Branta nigricans + Branta bernicla [split, aou_4_26 (1951)]","lump (1944) -> split (1951) [starting with change Branta nigricans + Branta bernicla -> Branta bernicla [lump, aou_4_19 (1944)]]",1,no,yes
99,lump,"Somateria v-nigra, Somateria mollissima",Somateria mollissima,aou_4_19 (1944),1944,"Somateria v-nigra + Somateria mollissima -> Somateria mollissima [lump, aou_4_19 (1944)]",,0,no,no,,,0,no,no
100,lump,"Oidemia nigra, Oidemia americana",Oidemia nigra,aou_4_19 (1944),1944,"Oidemia nigra + Oidemia americana -> Oidemia nigra [lump, aou_4_19 (1944)]",,0,no,no,,,0,no,no
101,lump,"Melanitta fusca, Melanitta deglandi",Melanitta fusca,aou_4_19 (1944),1944,"Melanitta fusca + Melanitta deglandi -> Melanitta fusca [lump, aou_4_19 (1944)]","Melanitta fusca -> Melanitta fusca + Melanitta deglandi [split, aou_4_24 (1949)]",1,no,yes,"Melanitta fusca -> Melanitta fusca + Melanitta deglandi [split, aou_4_24 (1949)]","lump (1944) -> split (1949) [starting with change Melanitta fusca + Melanitta deglandi -> Melanitta fusca [lump, aou_4_19 (1944)]]",1,no,yes
